CVE,DESCRIP
E100,"Diabetes mellitus insulinodependiente, con coma"
E101,"Diabetes mellitus insulinodependiente, con cetoacidosis"
E102,"Diabetes mellitus insulinodependiente, con complicaciones renales"
E103,"Diabetes mellitus insulinodependiente, con complicaciones oftálmicas"
E104,"Diabetes mellitus insulinodependiente, con complicaciones neurológicas"
E105,"Diabetes mellitus insulinodependiente, con complicaciones circulatorias periféricas"
E106,"Diabetes mellitus insulinodependiente, con otras complicaciones especificadas"
E107,"Diabetes mellitus insulinodependiente, con complicaciones múltiples"
E108,"Diabetes mellitus insulinodependiente, con complicaciones no especificadas"
E109,"Diabetes mellitus insulinodependiente, sin mención de complicación"
E110,"Diabetes mellitus no insulinodependiente, con coma"
E111,"Diabetes mellitus no insulinodependiente, con cetoacidosis"
E112,"Diabetes mellitus no insulinodependiente, con complicaciones renales"
E113,"Diabetes mellitus no insulinodependiente, con complicaciones oftálmicas"
E114,"Diabetes mellitus no insulinodependiente, con complicaciones neurológicas"
E115,"Diabetes mellitus no insulinodependiente, con complicaciones circulatorias periféricas"
E116,"Diabetes mellitus no insulinodependiente, con otras complicaciones especificadas"
E117,"Diabetes mellitus no insulinodependiente, con complicaciones múltiples"
E118,"Diabetes mellitus no insulinodependiente, con complicaciones no especificadas"
E119,"Diabetes mellitus no insulinodependiente, sin mención de complicación"
E120,"Diabetes mellitus asociada con desnutrición, con coma"
E121,"Diabetes mellitus asociada con desnutrición, con cetoacidosis"
E122,"Diabetes mellitus asociada con desnutrición, con complicaciones renales"
E124,"Diabetes mellitus asociada con desnutrición, con complicaciones neurológicas"
E125,"Diabetes mellitus asociada con desnutrición, con complicaciones circulatorias periféricas"
E126,"Diabetes mellitus asociada con desnutrición, con otras complicaciones especificadas"
E127,"Diabetes mellitus asociada con desnutrición, con complicaciones múltiples"
E128,"Diabetes mellitus asociada con desnutrición, con complicaciones no especificadas"
E129,"Diabetes mellitus asociada con desnutrición, sin mención de complicación"
E130,"Otras diabetes mellitus especificadas, con coma"
E131,"Otras Diabetes mellitus especificadas, con cetoacidosis"
E132,"Otras diabetes mellitus especificadas, con complicaciones renales"
E136,"Otras diabetes mellitus especificadas, con otras complicaciones especificadas"
E137,"Otras diabetes mellitus especificadas, con complicaciones múltiples"
E139,"Otras diabetes mellitus especificadas, sin mención de complicación"
E140,"Diabetes mellitus no especificada, con coma"
E141,"Diabetes mellitus no especificada, con cetoacidosis"
E142,"Diabetes mellitus no especificada, con complicaciones renales"
E143,"Diabetes mellitus no especificada, con complicaciones oftálmicas"
E144,"Diabetes mellitus no especificada, con complicaciones neurológicas"
E145,"Diabetes mellitus no especificada, con complicaciones circulatorias periféricas"
E146,"Diabetes mellitus no especificada, con otras complicaciones especificadas"
E147,"Diabetes mellitus no especificada, con complicaciones múltiples"
E148,"Diabetes mellitus no especificada, con complicaciones no especificadas"
E149,"Diabetes mellitus no especificada, sin mención de complicación"
E232,Diabetes insípida
N251,Diabetes insípida nefrógena
O240,"Diabetes mellitus preexistente insulinodependiente, en el embarazo"
O241,"Diabetes mellitus preexistente no insulinodependiente, en el embarazo"
O242,"Diabetes mellitus preexistente relacionada con desnutrición, en el embarazo"
O244,Diabetes mellitus que se origina con el embarazo
O249,"Diabetes mellitus no especificada, en el embarazo"
P700,Síndrome del recién nacido de madre con diabetes gestacional
