escolarida,frecuencia,CVE,DESCRIP,escolarida_peso
1,18920,1,No schooling,0.1718625099920064
2,99,2,Preschool,0.0008992805755395684
3,27415,3,Incomplete primary,0.24902805028704308
4,28421,4,Complete primary,0.25816619431727345
5,2232,5,Incomplete secondary,0.020274689339437543
6,13763,6,Complete secondary,0.12501816728435433
7,1492,7,Incomplete high school,0.013552794128333696
8,6605,8,Complete high school,0.05999745658019039
9,7665,9,Professional,0.06962611728798779
10,410,10,Postgraduate,0.0037242932926386165
88,13,88,Not applicable to children under 3 years,0.00011808734830317564
99,3053,99,Not specified,0.02773235956689194
